Word1,Word2,POS,Sim1,Sim2,STD,Cosine Builtin,Pearson,Spearman,Cosine
dịch_chuyển,tham_gia,V,1.33,2.22,0.79,0.031,1.0,0.043,0.031
bơi,ngụp,V,3.47,5.78,1.36,0.441,1.0,0.397,0.441
cư_dân,người_dân,N,5.67,9.45,0.6,0.583,1.0,0.559,0.583
khoan_thai,ung_dung,A,5.27,8.78,0.85,0.315,1.0,0.314,0.315
xe_tải,nóc,N,1.53,2.55,1.02,0.131,1.0,0.094,0.131
mùa_đông,đông_chí,N,2.67,4.45,0.7,0.339,1.0,0.314,0.339
lạc_hậu,tiên_tiến,A,0.53,0.88,0.62,0.299,1.0,0.269,0.299
chọc_ghẹo,biếu_xén,V,0.67,1.12,0.94,0.25,1.0,0.232,0.25
nền,cận_cảnh,N,1.8,3.0,0.75,-0.117,1.0,-0.136,-0.117
sư_tử,lăng_kính,N,0.8,1.33,1.17,0.008,1.0,-0.047,0.008
bẫy,cạm,N,5.0,8.33,0.63,None,None,None,None
nhảy_múa,nhẩy_múa,V,4.6,7.67,0.95,None,None,None,None
minh_oan,phá_vây,V,0.33,0.55,0.47,None,None,None,None
nguyên_nhân,nguyên_do,N,5.93,9.88,0.25,0.818,1.0,0.809,0.818
dữ,hiền,A,0.8,1.33,1.28,0.15,1.0,0.17,0.15
phần_phụ,bộ_phận,N,4.07,6.78,0.85,0.199,1.0,0.155,0.199
anh_dũng,dũng_mãnh,A,5.13,8.55,0.72,0.148,1.0,0.141,0.148
buôn_bán,vận_tải,N,2.4,4.0,0.8,0.19,1.0,0.186,0.19
khấp_khểnh,gập_ghềnh,A,5.47,9.12,0.72,None,None,None,None
đâm_sầm,phóng,V,3.4,5.67,1.31,0.324,1.0,0.269,0.324
bò,đi,V,2.6,4.33,1.02,-0.001,1.0,-0.019,-0.001
yểm_hộ,yểm_trợ,V,5.0,8.33,0.89,None,None,None,None
vòng_vòng,ngoại_tiếp,A,1.8,3.0,1.28,None,None,None,None
nội_tiết,luồng,N,1.07,1.78,1.06,0.005,1.0,0.013,0.005
dị_ứng,lương_tri,N,0.33,0.55,0.6,-0.012,1.0,0.001,-0.012
trẩy_hội,ứng_chiến,V,0.53,0.88,0.72,None,None,None,None
vặn,vặn_vẹo,V,4.13,6.88,1.15,0.333,1.0,0.338,0.333
lùng_bùng,vắng_ngắt,A,1.6,2.67,1.14,0.18,1.0,0.178,0.18
chê,khen,V,0.13,0.22,0.34,0.258,1.0,0.207,0.258
tượng_đài,bảng_tổng_sắp,N,0.8,1.33,1.05,0.064,1.0,0.076,0.064
người_yêu,tình_nhân,N,3.0,5.0,1.1,0.407,1.0,0.357,0.407
thiện_cảm,ác_cảm,N,0.53,0.88,0.72,0.591,1.0,0.535,0.591
trau_chuốt,phát_triển,V,2.07,3.45,0.93,0.134,1.0,0.135,0.134
gươm,lưỡi,N,1.4,2.33,1.02,0.252,1.0,0.252,0.252
bánh_xe,vành,N,2.6,4.33,0.95,0.462,1.0,0.416,0.462
tượng_đài,phân_bón,N,0.07,0.12,0.25,-0.086,1.0,-0.055,-0.086
nạc,búi,A,0.6,1.0,0.8,0.144,1.0,0.139,0.144
khung_thành,cầu_môn,N,5.4,9.0,1.25,0.906,1.0,0.898,0.906
kĩ,sơ_sài,A,0.2,0.33,0.4,0.358,1.0,0.371,0.358
buồn,vui,A,0.2,0.33,0.54,0.633,1.0,0.576,0.633
nhược_điểm,ưu_điểm,N,0.33,0.55,0.79,0.697,1.0,0.684,0.697
quan_hệ,trạng_thái,N,2.73,4.55,0.68,0.179,1.0,0.168,0.179
đong_đưa,vung_vẩy,V,3.93,6.55,1.24,0.373,1.0,0.332,0.373
bừa_bãi,gọn_ghẽ,A,0.27,0.45,0.44,0.164,1.0,0.142,0.164
nghiêm_lệnh,đồng_dao,N,1.07,1.78,1.06,None,None,None,None
nhà_thơ,thi_nhân,N,4.87,8.12,0.81,0.654,1.0,0.663,0.654
máy_tính,vi_xử_lý,N,2.4,4.0,0.61,0.437,1.0,0.423,0.437
né_tránh,hích,V,2.6,4.33,1.14,0.087,1.0,0.069,0.087
địch,ta,N,0.33,0.55,0.7,0.341,1.0,0.343,0.341
lưu_thông,ách_tắc,V,0.53,0.88,1.02,0.295,1.0,0.302,0.295
thứ_yếu,rộng_rãi,A,0.2,0.33,0.4,0.039,1.0,0.046,0.039
đặt_chân,thay,V,3.27,5.45,1.24,0.206,1.0,0.239,0.206
dì_ghẻ,phụ_huynh,N,3.8,6.33,0.91,0.244,1.0,0.228,0.244
rỗi,rỗi_rãi,A,5.53,9.22,0.72,0.515,1.0,0.506,0.515
tái_phát,nhiễm_khuẩn,V,0.87,1.45,0.72,0.41,1.0,0.419,0.41
mầm,rau_quả,N,3.53,5.88,1.02,0.2,1.0,0.188,0.2
hạn_hán,lụt_lội,N,0.33,0.55,0.6,0.674,1.0,0.643,0.674
lưỡng_lự,dứt_khoát,V,0.27,0.45,0.57,0.231,1.0,0.229,0.231
tung,cấp_phát,V,3.93,6.55,0.68,0.184,1.0,0.157,0.184
giầu,khó,A,0.53,0.88,0.72,0.137,1.0,0.158,0.137
làm_đẹp,cải_tạo,V,2.4,4.0,1.02,0.185,1.0,0.152,0.185
ban_mai,sớm_mai,N,5.4,9.0,1.08,0.477,1.0,0.451,0.477
quỳ,ví,V,1.0,1.67,1.26,0.057,1.0,0.052,0.057
bại_lộ,lộ,V,5.07,8.45,1.24,0.471,1.0,0.448,0.471
tính_cách,phẩm_chất,N,4.4,7.33,1.14,0.494,1.0,0.489,0.494
triều_đại,cổ_đại,N,3.67,6.12,1.14,0.274,1.0,0.27,0.274
cõi_dương,cõi_âm,N,0.6,1.0,1.2,None,None,None,None
lình_xình,nặng_tình,A,1.33,2.22,1.14,0.17,1.0,0.121,0.17
người_làm,người_bị_hại,N,2.2,3.67,0.83,0.135,1.0,0.178,0.135
cõi_tục,trần_gian,N,5.4,9.0,0.71,None,None,None,None
chần_chừ,lảo_đảo,V,3.2,5.33,0.98,0.113,1.0,0.13,0.113
khử_trùng,sát_trùng,V,5.53,9.22,0.81,0.705,1.0,0.702,0.705
